"COMMUNE_NOM","COLL_INSEE","TYPE_EVENEMENT","ANNEE","DATE_EVENEMENT","NOMBRE_EVENEMENT"
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140801,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140802,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140807,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140809,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140810,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140811,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140814,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140817,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140819,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140821,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140822,3
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140825,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140827,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140903,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140906,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140907,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140914,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140915,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140922,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140925,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140926,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20140927,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20141008,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20141011,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20141014,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2014,20141018,1
